Image,Mu,Sigma,Score,Score_10
104108373886.jpg,44.00767702508352,3.219096113215445,5.0,10.0
104109033778.jpg,43.95559599457825,2.9924038301532634,4.98995983935743,9.98672602058123
104108482233.jpg,43.56576707161663,3.1216774037796418,4.979919678714859,9.887369670485363
104108592506.jpg,43.54840223289793,3.2559163565189273,4.969879518072289,9.88294386497564
104107524436.jpg,43.44673311155145,3.509806783953173,4.959839357429719,9.85703128584299
104106936543.jpg,43.27039349527683,3.4836079177503136,4.949799196787149,9.812087312683571
104107844041.jpg,42.998012997170584,2.920865612648501,4.9397590361445785,9.742665239217272
104108857740.jpg,42.95820571009949,3.27760229234429,4.929718875502008,9.732519489331517
104108990768.jpg,42.9518756621128,2.9300724951620456,4.919678714859438,9.730906139405834
104108971431.jpg,42.837349815171365,3.490667689764341,4.909638554216867,9.701716745101043
104106715634.jpg,42.74228097962769,3.147452160880078,4.899598393574297,9.677486391858594
104108097531.jpg,42.65598280406211,3.111240406521636,4.889558232931727,9.655491431405206
104108424195.jpg,42.39250236424273,3.2739513801848887,4.879518072289157,9.588337730691512
104108647249.jpg,42.3224504858909,3.4330398151844244,4.8694779116465865,9.57048349120225
104108783945.jpg,41.93258492712353,2.6106746304602035,4.859437751004016,9.471117803677256
104108854371.jpg,41.89590570975981,3.292838461548945,4.849397590361446,9.46176931015362
104107181532.jpg,41.85927990208854,3.167425722956277,4.839357429718875,9.452434429247699
104108225562.jpg,41.74736190752191,3.4888975770867843,4.829317269076305,9.423909702642733
104108912548.jpg,41.741162279180514,3.259864183605436,4.819277108433735,9.422329592990343
104108299949.jpg,41.68995065690526,3.595064473338817,4.809236947791165,9.409277201102382
104109075036.jpg,41.68289112820874,3.663327107604263,4.7991967871485945,9.40747792720717
104108623685.jpg,41.560484598233096,3.438044415468896,4.789156626506024,9.376279970026664
104108790088.jpg,41.55761259019213,3.240512845818313,4.779116465863454,9.375547976530058
104108769212.jpg,41.54943501162691,3.2930070018390785,4.769076305220883,9.373463743393405
104108610169.jpg,41.499555619418075,3.0832252451498974,4.759036144578313,9.360750899212375
