Simple_ID,H3_ID,Center_Lat,Center_Lon
1,8740a6c5dffffff,30.89173600022634,114.36467859818772
2,8740a6c43ffffff,30.875136058325836,114.38049095197267
3,8740a688affffff,30.761181351618433,114.28863132272434
4,8740a688bffffff,30.759373334065607,114.26527793541177
5,8740a6889ffffff,30.740947118180035,114.25775132829519
6,8740a68d4ffffff,30.739130373440577,114.23439258472611
7,8740a68d5ffffff,30.73730896458007,114.21102856501733
8,8740a68b2ffffff,30.735129952525046,114.4135887641083
9,8740a68b3ffffff,30.733341715284016,114.3902670310772
10,8740a6880ffffff,30.729751301806516,114.34360762559737
11,8740a6d70ffffff,30.729135999833368,114.56916722885565
12,8740a6881ffffff,30.727949120355042,114.32026996499583
13,8740a688dffffff,30.72433079501785,114.27357875776048
14,8740a68f2ffffff,30.722514645940105,114.25022522303222
15,8740a68f3ffffff,30.72069383580136,114.22686640885014
16,8740a68b0ffffff,30.716719697829735,114.40606372353297
17,8740a68ccffffff,30.71336393296738,114.13337847727138
18,8740a6885ffffff,30.711328841936513,114.33608232797198
19,8740a6d75ffffff,30.710747989448024,114.56164337078617
20,8740a6d62ffffff,30.70898405299448,114.53835879565435
21,8740a68abffffff,30.707711691260617,114.28940155134019
22,8740a68f6ffffff,30.705896134103945,114.2660532269672
23,8740a68f0ffffff,30.704075918946174,114.24269961983231
24,8740a68b4ffffff,30.700094924713387,114.42185577226694
25,8740a68b5ffffff,30.698303191505815,114.39853917916048
26,8741996daffffff,30.69587588150679,114.60067329506101
27,8741996dbffffff,30.69411711636021,114.57739932908476
28,8740a68a8ffffff,30.691089813143122,114.30521970865846
29,8740a68f4ffffff,30.68745522025053,114.25852819757917
30,8740a68f5ffffff,30.68563093880532,114.23517451890488
31,8740a68e3ffffff,30.681968393001863,114.18845134514274
32,8741996deffffff,30.679241743682354,114.61641934649305
33,8740a68e8ffffff,30.678287186139215,114.14170712274995
34,8741996d8ffffff,30.6774835225055,114.59315063425994
35,8740a68a1ffffff,30.676274902146048,114.34436583317502
36,8741996d9ffffff,30.675720683852884,114.56987655878658
37,8740a68acffffff,30.674465166902593,114.32103322934248
38,8740a6d64ffffff,30.673953225091633,114.54659712590184
39,8740a68adffffff,30.672650782368535,114.29769533020587
40,8740a681affffff,30.670831745952803,114.27435214170913
41,8740a681bffffff,30.66900805506824,114.25100366980583
42,8740a68e6ffffff,30.667179707131453,114.22764992045926
43,8740a68e0ffffff,30.665346699563017,114.20429089964244
44,8740a68ecffffff,30.661666695232636,114.15755706753865
45,8740a68edffffff,30.659819693331233,114.13418226824619
46,8741996ddffffff,30.659084918761753,114.58562846249768
47,8740a685affffff,30.657968021519196,114.11080222147257
48,8740a6812ffffff,30.657837758778598,114.33684211302241
49,8741996caffffff,30.657318006358075,114.56235427839307
50,8740a6813ffffff,30.65602395494729,114.31350942875818
51,8740a681effffff,30.65420550229383,114.29017145184365
52,8740a6818ffffff,30.65238239823078,114.26682818822461
53,8740a6819ffffff,30.650554640174505,114.24347964385653
54,8740a68e4ffffff,30.64872222554524,114.22012582470461
55,8740a68e5ffffff,30.646885151767112,114.19676673674373
